Ingredientid,Formula,cid,smiles
753,C37H46O12,122173256,CCCC(=O)C1=C(C(=C(C(=C1O)CC2=C(C(=C(C(=C2O)C(=O)C(C)CC)O)CC3=C(C(=C(C(=C3O)C)OC)C(=O)CCC)O)O)O)C)OC
754,C36H44O12,442900,CCCC(=O)C1=C(C(=C(C(=C1O)CC2=C(C(=C(C(=C2O)C)OC)C(=O)CCC)O)O)CC3=C(C(=C(C(=C3O)C)OC)C(=O)CCC)O)O
755,C34H40O12,5316827,CCCC(=O)C1=C(C(=C(C(=C1O)CC2=C(C(=C(C(=C2O)C)OC)C(=O)CCC)O)O)CC3=C(C(=C(C(=C3O)C)OC)C(=O)C)O)O
756,C36H44O12,5316836,CC1=C(C(=C(C(=C1OC)C(=O)C(C)C)O)CC2=C(C(=C(C(=C2O)C(=O)C(C)C)O)CC3=C(C(=C(C(=C3O)C)OC)C(=O)C(C)C)O)O)O
757,C48H32O31 ,,
758,C48H32O31 ,,
760,C18H18O5,161362,COC1=CC=C(C=C1)CCC2CC3=CC(=CC(=C3C(=O)O2)O)O
761,C24H28O10,130868,COC1=CC=C(C=C1)CCC2CC3=CC(=CC(=C3C(=O)O2)O)OC4C(C(C(C(O4)CO)O)O)O
762,C26H34O8,45115271,CCCC(=O)C1=C(C(=C(C(=C1O)CC2(C(=O)C(=C(C(=C(C(C)CC)O)C2=O)O)C)C)O)C)OC
764,C12H10,3083613,CC#CC#CCC1=CC=CC=C1
768,C51H46O14 ,5316895,C1=CC=C(C=C1)CCC2=CC(=O)C3=CC(=C(C=C3O2)OC4C(C(C(C5=C4C(=O)C=C(O5)CCC6=CC=CC=C6)O)O)O)OC7C(C(C(C8=C7C(=O)C=C(O8)CCC9=CC=CC=C9)O)O)O
769,C51H46O14 ,,
770,C51H46O14 ,,
771,C51H46O14 ,5316901,C1=CC=C(C=C1)CCC2=CC(=O)C3=C(O2)C(C(C(C3O)OC4=C5C(=O)C=C(OC5=C(C=C4)OC6C(C(C(C7=C6C(=O)C=C(O7)CCC8=CC=CC=C8)O)O)O)CCC9=CC=CC=C9)O)O
772,C34H28O8 ,5316906,C1=CC=C(C=C1)CCC2=CC(=O)C3=CC4=C(C=C3O2)OC5C(C(C6=C(C5O4)C(=O)C=C(O6)CCC7=CC=CC=C7)O)O
774,C25H34O9,11754815,CCC(C)C(=O)OC1C2C(C(C3(C4C2(CO3)C(CC5C4(C(C(=O)C=C5C)O)C)OC1=O)O)O)C
785,C9H14OS3,9881148,C=CCSSC=CCS(=O)CC=C
815,C15H24O9 ,6452750,CC1(CCC2C1C(OC=C2)OC3C(C(C(C(O3)(CO)O)O)O)O)O
816,C17H26O10 ,23304363,CC(=O)OC1(CC(C2C1C(OC=C2)OC3C(C(C(C(O3)CO)O)O)O)O)C
818,C47H76O18,126956703,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)OC6C(C(C(CO6)O)O)O)C)C)C2C1)C)C(=O)OC7C(C(C(C(O7)COC8C(C(C(C(O8)CO)O)O)O)O)O)O)C
819,C59H96O25 ,10843971,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OCC3C(C(C(C(O3)OC(=O)C45CCC(CC4C6=CCC7C8(CCC(C(C8CCC7(C6(CC5)C)C)(C)C)OC9C(C(C(CO9)O)O)OC1C(C(C(C(O1)C)O)O)O)C)(C)C)O)O)O)CO)O)O)O
820,C65H106O30 ,6325133,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3C(C(COC3OC4CCC5(C(C4(C)C)CCC6(C5CC=C7C6(CCC8(C7CC(CC8)(C)C)C(=O)OC9C(C(C(C(O9)COC1C(C(C(C(O1)CO)OC1C(C(C(C(O1)C)O)O)O)O)O)O)O)O)C)C)C)O)O)O)O)O)O)O)O
823,C20H22N2O2 ,10314057,CC=C1CN2CCC34C2CC1C(=C3NC5=CC=CC=C45)C(=O)OC
